beef burgers, MEAT, beef mince, onion, bread bun, potato, peas, sweetcorn, carrot, broccoli
chicken tikka masala, MEAT, chicken thighs, tomato passata, onion, ginger, tomato puree, vinegar, double cream, coriander, rice, garlic, garam masala, paprika, coriander, cumin, chili pepper
chicken wraps, MEAT, chicken, onion, lettuce, wraps, bell pepper, cajun, tomato puree, chili powder, paprika, oregano
halloumi wraps, VEGETARIAN, halloumi, onion, lettuce, wraps, bell pepper, cajun, tomato puree, chili powder, paprika, oregano
chickpea and butternut squash curry, VEGAN, chickpea, butternut squash, onion, ginger, garlic, bell pepper, cumin, coriander, garam masala, chili powder
chili con carne, MEAT, beef mince, tomato passata, kidney beans, onion, rice, oregano, chili powder, paprika, cumin, cayenne pepper, beef stock, garlic
halloumi burgers, VEGETARIAN, halloumi, bread bun, onion, potato, peas, sweetcorn, carrot, broccoli
pork chops and chips, MEAT, pork chop, potato, broccoli, carrot, peas, sweetcorn, cajun
roast vegetables,VEGETARIAN, butternut squash, potato, carrot, parsnip, courgette, sweet potato, broccoli
salmon and rice, MEAT, salmon, rice, soy sauce, broccoli, carrot
sausage and mash, MEAT, sausage, potato, gravy, broccoli, carrot, peas, sweetcorn
spaghetti bolognese, MEAT, spaghetti, tomato passata, mushrooms, beef mince, oregano, beef stock, garlic
spaghetti carbonara, VEGETARIAN, spaghetti, parmesan, single cream, bacon, eggs, garlic
spicy chili beef, MEAT, beef, bell pepper, noodles, cornflour, chili pepper, spring onion, garlic, soy sauce, vinegar, sweet chili sauce, ketchup, chinese five spice, prawn crackers
