bacon
beef
beef mince
beef stock
beetroot
bell pepper
bread
bread bun
broccoli
butternut squash
cajun
carrot
cayenne pepper
chicken
chicken thighs
chickpea
chili pepper
chili powder
chinese five spice
coriander
cornflour
courgette
cumin
double cream
eggs
garlic
garam masala
ginger
gravy
halloumi
kidney beans
ketchup
lettuce
mushrooms
noodles
onion
oregano
paprika
parmesan
parsnip
peas
pork chop
potato
prawn crackers
rice
salmon
sausage
single cream
soy sauce
spaghetti
spring onion
sweet chili sauce
sweet potato
sweetcorn
tomato
tomato passata
tomato puree
vinegar
